,ROI,Max Drawdown,Win Percentage,Profit Factor,Expectancy
Python_Multi_Consolidated_20250726_161921_SENSEX 1416-1446 SL73%TP42%,541.8213500000967,10131.211849999956,0.5487804878048781,1.0212580524673023,6.60757743902559
Python_Multi_Consolidated_20250726_161921_SENSEX 934-1234 SL45%,18523.819100000102,19875.19114999999,0.5975609756097561,1.2717217273607218,225.9002329268303
Python_Multi_Consolidated_20250726_161921_SENSEX 1420-1520 SL45%,19967.862250000097,6814.389499999983,0.5975609756097561,1.7297695377346851,243.51051524390368
Python_Multi_Consolidated_20250726_161921_SENSEX 1416-1446 SL45%,-766.8192999998981,8028.038299999949,0.5487804878048781,0.9644094075607926,-9.351454878047576
Python_Multi_Consolidated_20250726_161921_SENSEX 924-1224 SL73%TP42%,29812.408060000136,21985.85163999998,0.5487804878048781,1.3217776273153021,363.56595195122145
Python_Multi_Consolidated_20250726_161921_SENSEX 1336-1406 SL45%,-2231.175399999907,6542.565549999954,0.5365853658536586,0.8983457034213899,-27.209456097559837
Python_Multi_Consolidated_20250726_161921_SENSEX 1330-1430 SL45%,-16924.096649999894,23135.824549999954,0.5,0.642513668947489,-206.39142256097432
Python_Multi_Consolidated_20250726_161921_SENSEX 926-956 SL73%TP42%,-3666.4525999998837,10915.821599999936,0.4878048780487805,0.9227679160492405,-44.712836585364585
Python_Multi_Consolidated_20250726_161921_SENSEX 1326-1356 SL45%,-15138.941849999892,19694.39684999991,0.4634146341463415,0.48723237321785107,-184.62124207316947
Python_Multi_Consolidated_20250726_161921_SENSEX 927-1327 SL73%TP42%,-8477.732059999897,31194.85011999998,0.43902439024390244,0.9228680132777398,-103.38697634146229
Python_Multi_Consolidated_20250726_161921_SENSEX 1322-1522 SL45%,4534.671900000107,22838.519849999946,0.6097560975609756,1.1143064332451023,55.3008768292695
Python_Multi_Consolidated_20250726_161921_SENSEX 1320-1420 SL45%,-13730.169549999897,19635.139549999934,0.5121951219512195,0.6741729628572546,-167.4410920731695
Python_Multi_Consolidated_20250726_161921_SENSEX 930-1030 SL73%TP42%,-3722.157059999893,9991.006719999992,0.5365853658536586,0.9319650468942329,-45.392159268291266
Python_Multi_Consolidated_20250726_161921_SENSEX 1316-1346 SL45%,-11583.65579999989,14233.890799999892,0.47560975609756095,0.6007122596324515,-141.26409512194982
Python_Multi_Consolidated_20250726_161921_SENSEX 932-1132 SL73%TP42%,-5877.217379999894,18571.583539999963,0.524390243902439,0.9281873487479997,-71.67338268292542
Python_Multi_Consolidated_20250726_161921_SENSEX 1340-1440 SL45%,5639.978050000109,11133.20279999997,0.5487804878048781,1.1938668495090288,68.78022012195265
Python_Multi_Consolidated_20250726_161921_SENSEX 922-1122 SL73%TP42%,26537.823670000107,15151.681569999992,0.5487804878048781,1.366473759796332,323.63199597561083
Python_Multi_Consolidated_20250726_161921_SENSEX 916-920 SL73%TP42%,-18739.914799999875,19750.250799999878,0.3902439024390244,0.4430072433640961,-228.53554634146184
Python_Multi_Consolidated_20250726_161921_SENSEX 1410-1510 SL45%,10828.940150000111,10317.631049999969,0.573170731707317,1.370380730733553,132.06024573170856
Python_Multi_Consolidated_20250726_161921_SENSEX 916-946 SL73%TP42%,-11219.76913999987,20562.4930399999,0.5,0.7816986246130341,-136.82645292682759
Python_Multi_Consolidated_20250726_161921_SENSEX 1406-1436 SL45%,-4659.6022999999,12945.427749999944,0.4634146341463415,0.8060297251182089,-56.82441829268171
Python_Multi_Consolidated_20250726_161921_SENSEX 1400-1500 SL45%,3935.0256500001087,12115.048499999946,0.524390243902439,1.1241180210413626,47.988117682928134
Python_Multi_Consolidated_20250726_161921_SENSEX 917-1317 SL73%TP42%,52123.44700000011,20579.13144999998,0.5121951219512195,1.5716157048809896,635.6517926829281
Python_Multi_Consolidated_20250726_161921_SENSEX 1356-1426 SL45%,-5391.642899999886,12957.27804999994,0.5,0.7964203332526903,-65.75174268292545
Python_Multi_Consolidated_20250726_161921_SENSEX 920-1020 SL73%TP42%,38361.53737000013,11662.819349999969,0.6219512195121951,1.8269042155267297,467.8236264634162
Python_Multi_Consolidated_20250726_161921_SENSEX 1350-1450 SL45%,8229.285900000095,10049.292049999938,0.5487804878048781,1.3117698160327094,100.35714512195239
Python_Multi_Consolidated_20250726_161921_SENSEX 1346-1416 SL45%,-13902.375899999892,17546.53739999994,0.4878048780487805,0.5365600830181088,-169.54116951219376
Python_Multi_Consolidated_20250726_161921_SENSEX 1350-1450 SL73%TP42%,-6889.9883699999045,19223.900419999947,0.5365853658536586,0.8415048671566946,-84.02424841463295
Python_Multi_Consolidated_20250726_161921_SENSEX 1020-1120 SL47%,-606.7794099998924,13674.461529999957,0.6707317073170732,0.9844729627397397,-7.399748902437693
Python_Multi_Consolidated_20250726_161921_SENSEX 1017-1417 SL47%,-13216.148579999897,37684.11702999992,0.5609756097560976,0.8654121442835544,-161.172543658535
Python_Multi_Consolidated_20250726_161921_SENSEX 1256-1326 SL73%TP42%,-3995.465119999899,8780.974219999913,0.5609756097560976,0.8397518739430295,-48.725184390242504
Python_Multi_Consolidated_20250726_161921_SENSEX 1016-1046 SL47%,-9213.116189999868,17467.022189999905,0.5975609756097561,0.7531721101609665,-112.35507548780328
Python_Multi_Consolidated_20250726_161921_SENSEX 1300-1400 SL73%TP42%,-14184.631059999892,19078.4290599999,0.5487804878048781,0.7022130682911994,-172.9833056097546
Python_Multi_Consolidated_20250726_161921_SENSEX 1014-1314 SL47%,1258.5893100001138,23643.73091999997,0.5487804878048781,1.0172422484216417,15.3486501219528
Python_Multi_Consolidated_20250726_161921_SENSEX 1012-1212 SL47%,3090.6485200001016,14307.477849999981,0.6341463414634146,1.051081127393452,37.6908356097573
Python_Multi_Consolidated_20250726_161921_SENSEX 1302-1502 SL73%TP42%,-4583.48992999988,18759.62632999994,0.5365853658536586,0.9262036625638915,-55.896218658535076
